0,target_id,latitude,longitude,time,magnitude,geometry,mc_current,mc_current_above_ref,mu,P_triggered,P_background,zeta_plus_1,depth,dmass,cp,us_Mww_np1_rake,us_Mww_np2_rake,us_Mww_np1_dip,us_Mww_np2_dip,us_Mww_np1_strike1,us_Mww_np2_strike2
20,7500,7502,-10.126,33.87,2009-12-06 17:36:36.010,5.800000000000001,POINT (-10.126 33.87),5.4,0.0,6.907372514309816e-11,0.1814304470764671,0.8185695529235328,1.0,9.0,-10.197406991394756,2.354139878292583,,,,,,
21,5061,5063,33.061,75.863,2013-05-01 06:57:13.480,5.7,POINT (33.061 75.863),5.4,0.0,6.907372514309816e-11,0.8431021186747916,0.1568978813252084,1.0,15.0,-11.26238294219602,2.354139878292583,80.0,94.0,24.0,67.0,67.0,67.0
22,8320,8322,32.308,47.35,2008-08-27 21:52:38.110,5.800000000000001,POINT (32.308 47.35),5.4,0.0,6.907372514309816e-11,0.7997951237750475,0.2002048762249524,1.0,10.0,-11.269136392033085,2.354139878292583,,,,,,
23,5962,5964,54.08,123.722,2011-10-14 06:10:14.600,6.0,POINT (54.08 123.722),5.4,0.0,6.907372514309816e-11,0.2414141962877736,0.7585858037122264,1.0,12.0,-10.298576041514462,2.354139878292583,-15.0,-157.0,68.0,75.0,75.0,75.0
24,6256,6258,39.149,29.103,2011-05-19 20:15:22.940,5.800000000000001,POINT (39.149 29.103),5.4,0.0,6.907372514309816e-11,0.8655596769239123,0.1344403230760877,1.0,7.0,16.459236103539897,2.2337158905863728,-102.0,-80.0,37.0,54.0,54.0,54.0
25,1510,1512,-18.2242,120.3584,2019-07-14 05:39:23.420,6.6000000000000005,POINT (-18.2242 120.3584),5.4,0.0,6.907372514309816e-11,0.3881031386553338,0.6118968613446661,1.0,10.0,15.505109390051892,2.2337158905863728,173.39,11.84,78.24,83.52,83.52,83.52
26,12212,12214,19.379,94.513,2002-12-04 11:30:53.780,5.6000000000000005,POINT (19.379 94.51300000000001),5.4,0.0,6.907372514309816e-11,0.5029941067105816,0.4970058932894184,1.0,53.5,15.756677704159909,2.2337158905863728,,,,,,
27,189,191,38.8893,135.4527,2021-09-29 08:37:05.619,6.1000000000000005,POINT (38.8893 135.4527),5.4,0.0,6.907372514309816e-11,0.8805546310644004,0.1194453689355997,1.0,364.0,-12.2257869748429,1.936979654780165,-51.02,-97.81,12.3,80.47,80.47,80.47
28,4582,4584,4.1909,86.7252,2014-03-27 04:00:15.540,5.4,POINT (4.1909 86.7252),5.4,0.0,6.907372514309816e-11,0.7568494176571956,0.2431505823428043,1.0,12.96,-11.71227395695825,1.936979654780165,,,,,,
29,1402,1404,40.9035,28.1502,2019-09-26 10:59:25.648,5.7,POINT (40.9035 28.1502),5.4,0.0,6.907372514309816e-11,0.8407136243181825,0.1592863756818174,1.0,8.0,-11.874612588810098,1.936979654780165,42.0,123.34,41.51,63.67,63.67,63.67
30,1874,1876,27.1986,96.9185,2018-11-28 10:17:06.970,5.4,POINT (27.1986 96.91849999999999),5.4,0.0,6.907372514309816e-11,0.8805941864159262,0.1194058135840737,1.0,11.0,-11.787422681037986,1.936979654780165,62.57,114.56,44.77,51.31,51.31,51.31
31,2897,2899,-20.16,46.6469,2017-01-11 22:06:58.670,5.5,POINT (-20.16 46.6469),5.4,0.0,6.907372514309816e-11,0.011534340935102,0.988465659064898,1.0,7.26,-11.298553972873052,1.936979654780165,-160.17,-45.15,46.6,75.73,75.73,75.73
32,5937,5939,43.648,82.437,2011-11-01 00:21:28.090,5.6000000000000005,POINT (43.648 82.437),5.4,0.0,6.907372514309816e-11,0.8503181973872082,0.1496818026127918,1.0,28.0,-8.599961295265018,1.8978613759041087,87.0,91.0,17.0,73.0,73.0,73.0
33,1714,1716,-3.2806,90.2747,2019-03-10 07:53:20.170,5.5,POINT (-3.2806 90.2747),5.4,0.0,6.907372514309816e-11,0.5928131179054699,0.4071868820945302,1.0,10.0,-8.509723310573076,1.8978613759041087,-172.08,-14.27,75.86,82.32,82.32,82.32
34,3937,3939,28.2305,84.7314,2015-04-25 06:11:25.950,7.800000000000001,POINT (28.2305 84.73139999999999),5.4,0.0,6.907372514309816e-11,0.6132250595533844,0.3867749404466156,1.0,8.22,-8.230162390012111,1.8978613759041087,89.0,101.0,83.0,7.0,7.0,7.0
35,3825,3827,29.0402,34.6672,2015-06-27 15:34:03.960,5.5,POINT (29.0402 34.6672),5.4,0.0,6.907372514309816e-11,0.1465372317457899,0.8534627682542101,1.0,22.0,-7.719402094394657,1.8978613759041087,,,,,,
36,6958,6960,35.49,54.47,2010-08-27 19:23:49.500,5.800000000000001,POINT (35.49 54.47),5.4,0.0,6.907372514309816e-11,0.6669235902166291,0.3330764097833709,1.0,7.0,-7.723536653543455,1.8978613759041087,174.0,66.0,24.0,87.0,87.0,87.0
37,11315,11317,12.702,-44.49,2004-05-11 23:58:54.410,5.5,POINT (12.702 -44.49),5.4,0.0,6.907372514309816e-11,0.887444258738264,0.1125557412617359,1.0,10.0,-8.232435619738212,1.8978613759041087,,,,,,
38,3230,3232,41.4928,-29.3334,2016-07-14 08:36:29.110,5.4,POINT (41.4928 -29.3334),5.4,0.0,6.907372514309816e-11,0.6143678921544327,0.3856321078455674,1.0,10.0,-7.638740556081757,1.8978613759041087,,,,,,
39,10596,10598,7.102,-34.12,2005-03-24 07:33:53.040,5.4,POINT (7.102 -34.12),5.4,0.0,6.907372514309816e-11,0.5320735524344303,0.4679264475655696,1.0,21.0,-7.596175862925722,1.8978613759041087,,,,,,
40,3075,3077,32.8959,94.8768,2016-10-17 07:14:50.870,5.9,POINT (32.8959 94.8768),5.4,0.0,6.907372514309816e-11,0.8829917650947098,0.1170082349052901,1.0,35.0,-7.493912415262532,1.8978613759041087,-98.0,-79.0,51.0,39.0,39.0,39.0
41,4755,4757,34.4574,45.4824,2013-11-22 06:51:25.060,5.6000000000000005,POINT (34.4574 45.4824),5.4,0.0,6.907372514309816e-11,0.6253661058057152,0.3746338941942847,1.0,6.0,-7.617485958782336,1.8978613759041087,,,,,,
42,5993,5995,27.73,88.155,2011-09-18 12:40:51.830,6.9,POINT (27.73 88.155),5.4,0.0,6.907372514309816e-11,0.7132420006725257,0.2867579993274742,1.0,50.0,11.201337641152763,1.821275159104058,,,,,,
